longitude,latitude,species
0.010000,42.610000,Pinus uncinata Ramond ex DC.
-0.033416,42.635211,Pinus uncinata Ramond ex DC.
-0.052700,42.548700,Pinus uncinata Ramond ex DC.
0.087900,42.576700,Pinus uncinata Ramond ex DC.
-0.061900,42.612000,Pinus uncinata Ramond ex DC.
-0.085800,42.621600,Pinus uncinata Ramond ex DC.
-0.036700,42.629400,Pinus uncinata Ramond ex DC.
-0.073200,42.630300,Pinus uncinata Ramond ex DC.
-0.072800,42.639300,Pinus uncinata Ramond ex DC.
0.145500,42.650100,Pinus uncinata Ramond ex DC.
0.133300,42.649800,Pinus uncinata Ramond ex DC.
-0.120700,42.658500,Pinus uncinata Ramond ex DC.
0.108500,42.658200,Pinus uncinata Ramond ex DC.
0.120300,42.667500,Pinus uncinata Ramond ex DC.
-0.107700,42.676200,Pinus uncinata Ramond ex DC.
0.083300,42.675600,Pinus uncinata Ramond ex DC.
0.070700,42.684300,Pinus uncinata Ramond ex DC.
0.094700,42.693900,Pinus uncinata Ramond ex DC.
0.005078,42.641063,Pinus uncinata Ramond ex DC.
-0.070000,42.590000,Pinus uncinata Ramond ex DC.
-0.040000,42.590000,Pinus uncinata Ramond ex DC.
0.070000,42.680000,Pinus uncinata Ramond ex DC.
0.070000,42.590000,Pinus uncinata Ramond ex DC.
-0.050000,42.680000,Pinus uncinata Ramond ex DC.
-0.070000,42.680000,Pinus uncinata Ramond ex DC.
-0.008650,42.713492,Pinus uncinata Ramond ex DC.
-0.007095,42.636474,Pinus uncinata Ramond ex DC.
-0.055456,42.648359,Pinus uncinata Ramond ex DC.
0.069546,42.673066,Pinus uncinata Ramond ex DC.
-0.015649,42.638758,Pinus uncinata Ramond ex DC.
0.108328,42.623361,Pinus uncinata Ramond ex DC.
-0.014193,42.629482,Pinus uncinata Ramond ex DC.
-0.038688,42.658210,Pinus uncinata Ramond ex DC.
0.112314,42.601670,Pinus uncinata Ramond ex DC.
0.004283,42.638181,Pinus uncinata Ramond ex DC.
-0.044138,42.637543,Pinus uncinata Ramond ex DC.
0.061311,42.685287,Pinus uncinata Ramond ex DC.
0.037314,42.586175,Pinus uncinata Ramond ex DC.
-2.580000,42.638237,Pinus uncinata Ramond ex DC.
-0.058679,42.638470,Pinus uncinata Ramond ex DC.
0.025852,42.640586,Pinus uncinata Ramond ex DC.
0.014866,42.645694,Pinus uncinata Ramond ex DC.
-0.037673,42.655553,Pinus uncinata Ramond ex DC.
-0.054245,42.641309,Pinus uncinata Ramond ex DC.
0.063619,42.638342,Pinus uncinata Ramond ex DC.
-0.018261,42.715445,Pinus uncinata Ramond ex DC.
-0.138462,42.722650,Pinus uncinata Ramond ex DC.
-0.012980,42.706100,Pinus uncinata Ramond ex DC.
0.010260,42.714740,Pinus uncinata Ramond ex DC.
0.007320,42.713780,Pinus uncinata Ramond ex DC.
-0.003520,42.724250,Pinus uncinata Ramond ex DC.
-0.022990,42.710060,Pinus uncinata Ramond ex DC.
-0.127334,42.697636,Pinus uncinata Ramond ex DC.
-0.016323,42.700277,Pinus uncinata Ramond ex DC.
-0.130000,42.640000,Pinus uncinata Ramond ex DC.
-0.007640,42.697990,Pinus mugo subsp. uncinata (Ramond ex DC.) Domin
0.108826,42.668906,Pinus uncinata Ramond ex DC.
-0.041177,42.658904,Pinus uncinata Ramond ex DC.
-0.021177,42.668905,Pinus uncinata Ramond ex DC.
0.098827,42.618905,Pinus uncinata Ramond ex DC.
0.108827,42.618905,Pinus uncinata Ramond ex DC.
0.138828,42.608905,Pinus uncinata Ramond ex DC.
0.148827,42.668907,Pinus uncinata Ramond ex DC.
-0.131180,42.728905,Pinus uncinata Ramond ex DC.
-0.101179,42.688904,Pinus uncinata Ramond ex DC.
-0.131180,42.718905,Pinus uncinata Ramond ex DC.
-0.071177,42.628903,Pinus uncinata Ramond ex DC.
0.088827,42.618905,Pinus uncinata Ramond ex DC.
-0.081178,42.688905,Pinus uncinata Ramond ex DC.
0.078825,42.688906,Pinus uncinata Ramond ex DC.
-0.091178,42.638903,Pinus uncinata Ramond ex DC.
-0.061177,42.628903,Pinus uncinata Ramond ex DC.
-0.041176,42.628904,Pinus uncinata Ramond ex DC.
-0.111178,42.658904,Pinus uncinata Ramond ex DC.
0.088826,42.658906,Pinus uncinata Ramond ex DC.
-0.081177,42.608903,Pinus uncinata Ramond ex DC.
0.098826,42.678906,Pinus uncinata Ramond ex DC.
0.048826,42.628905,Pinus uncinata Ramond ex DC.
0.048825,42.638905,Pinus uncinata Ramond ex DC.
-0.041177,42.648904,Pinus uncinata Ramond ex DC.
-0.071177,42.618903,Pinus uncinata Ramond ex DC.
0.078827,42.568904,Pinus uncinata Ramond ex DC.
-0.121179,42.698904,Pinus uncinata Ramond ex DC.
-0.121178,42.648903,Pinus uncinata Ramond ex DC.
0.108826,42.678906,Pinus uncinata Ramond ex DC.
0.048826,42.598904,Pinus uncinata Ramond ex DC.
0.128827,42.638906,Pinus uncinata Ramond ex DC.
-0.002080,42.723980,Pinus mugo subsp. uncinata (Ramond ex DC.) Domin
