Variable,Description,Value,Probability,MeanReference,Min,Max
BIO2,"Mean diurnal range",7.1140,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.1511,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.1882,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.2253,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.2624,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.2995,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.3366,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.3737,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.4108,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.4479,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.4850,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.5221,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.5592,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.5963,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.6334,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.6705,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.7076,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.7448,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.7819,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.8190,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.8561,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.8932,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.9303,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",7.9674,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.0045,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.0416,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.0787,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.1158,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.1529,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.1900,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.2271,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.2642,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.3013,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.3384,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.3755,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.4126,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.4497,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.4868,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.5239,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.5610,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.5981,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.6352,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.6723,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.7094,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.7465,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.7836,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.8208,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.8579,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.8950,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.9321,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",8.9692,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.0063,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.0434,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.0805,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.1176,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.1547,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.1918,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.2289,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.2660,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.3031,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.3402,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.3773,0.0280,9.9335,7.1140,14.4976
BIO2,"Mean diurnal range",9.4144,0.0280,9.9335,7.1140,14.4976
